,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
INC,Net Income,-20197000.0,-50737000.0,-26369000.0,-115373000.0,-28922000.0,-79540000.0,-74407000.0,-64467000.0
INC,Total Adjustments to Net Income,-647000.0,-1559000.0,,,,0.0,-3182000.0,
INC,Income Available to Com Excl ExtraOrd,-20844000.0,-52296000.0,-26369000.0,-115373000.0,-28922000.0,-79540000.0,-77589000.0,-64467000.0
INC,Income Available to Com Incl ExtraOrd,-20844000.0,-52296000.0,-26369000.0,-115373000.0,-28922000.0,-79540000.0,-77589000.0,-64467000.0
INC,Diluted Net Income,-20844000.0,-52296000.0,-26369000.0,-115373000.0,-28922000.0,-79540000.0,-77589000.0,-64467000.0
INC,Diluted Weighted Average Shares,242022270.0,232391570.0,205082330.0,157317700.0,197006980.0,196187040.0,196187040.0,196187040.0
INC,Diluted EPS Excluding ExtraOrd Items,-86120.0,-225030.0,-128580.0,-733380.0,-146810.0,-405430.0,-395480.0,-328600.0
INC,DPS - Common Stock Primary Issue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
INC,Diluted Normalized EPS,-83980.0,-214540.0,-117220.0,-733380.0,-146810.0,-405430.0,-382980.0,-328600.0
CAS,Net Income/Starting Line,-70934000.0,-48301000.0,-26369000.0,-115373000.0,-84693000.0,-79540000.0,-74407000.0,-64467000.0
CAS,Depreciation/Depletion,1941000.0,1411000.0,708000.0,4037000.0,3197000.0,5502000.0,6037000.0,4671000.0
CAS,Non-Cash Items,29554000.0,18187000.0,9159000.0,34874000.0,24511000.0,19574000.0,12586000.0,3624000.0
CAS,Cash Taxes Paid,1645000.0,1098000.0,550000.0,1044000.0,787000.0,234000.0,738000.0,253000.0
CAS,Cash Interest Paid,7945000.0,4344000.0,1074000.0,4364000.0,2302000.0,2631000.0,412000.0,568000.0
CAS,Changes in Working Capital,-14956000.0,-4948000.0,2035000.0,-19684000.0,-16620000.0,-11826000.0,11762000.0,10139000.0
CAS,Cash from Operating Activities,-54395000.0,-33651000.0,-14467000.0,-94019000.0,-73605000.0,-66177000.0,-46304000.0,-46033000.0
CAS,Capital Expenditures,-334000.0,-293000.0,-15000.0,-1329000.0,-1188000.0,-636000.0,-2162000.0,-5109000.0
CAS,Cash from Investing Activities,-334000.0,-293000.0,-15000.0,-1329000.0,-1188000.0,-636000.0,11448000.0,8321000.0
CAS,Financing Cash Flow Items,0.0,0.0,,90689000.0,90689000.0,,,
CAS,"Issuance (Retirement) of Stock, Net",105233000.0,104024000.0,55727000.0,4160000.0,3620000.0,2490000.0,16454000.0,152000.0
CAS,"Issuance (Retirement) of Debt, Net",49942000.0,49984000.0,-4159000.0,-12848000.0,-8696000.0,42163000.0,37000000.0,-2480000.0
CAS,Cash from Financing Activities,155175000.0,154008000.0,51568000.0,82001000.0,85613000.0,44653000.0,53454000.0,-2328000.0
CAS,Net Change in Cash,100446000.0,120064000.0,37086000.0,-13347000.0,10820000.0,-22160000.0,18598000.0,-40040000.0
CAS,Deferred Taxes,,,,2127000.0,0.0,113000.0,-2282000.0,
