,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
INC,Diluted EPS Excluding ExtraOrd Items,34480,-448370.0,-195370.0,-600630.0,-129170.0,-76280.0,-192550.0,-139580.0
INC,DPS - Common Stock Primary Issue,0,0.0,0.0,,0.0,,,
INC,Diluted Normalized EPS,34640,-447310.0,-190160.0,-592560.0,-124820.0,25680.0,-192080.0,-134810.0
CAS,Net Income/Starting Line,-89364000,,-28609000.0,-86406000.0,-58102000.0,-10858000.0,-27392000.0,-19857000.0
CAS,Depreciation/Depletion,6781000,,1815000.0,5465000.0,3782000.0,2895000.0,1065000.0,535000.0
CAS,Non-Cash Items,45003000,,12190000.0,12491000.0,1246000.0,-31596000.0,786000.0,1512000.0
CAS,Cash Interest Paid,710000,,710000.0,581000.0,478000.0,850000.0,405000.0,281000.0
CAS,Changes in Working Capital,30922000,,11170000.0,-6278000.0,-16347000.0,-30069000.0,2287000.0,2632000.0
CAS,Cash from Operating Activities,-6658000,,-3434000.0,-74728000.0,-69421000.0,-69628000.0,-23254000.0,-15178000.0
CAS,Capital Expenditures,-51646000,,-13365000.0,-21473000.0,-17554000.0,-3710000.0,-6609000.0,-731000.0
CAS,"Other Investing Cash Flow Items, Total",-41147000,,-673000.0,-2408000.0,-1624000.0,-1028000.0,,
CAS,Cash from Investing Activities,-92793000,,-14038000.0,-23881000.0,-19178000.0,-4738000.0,-6609000.0,-731000.0
CAS,Financing Cash Flow Items,-332000,,-332000.0,0.0,0.0,50813000.0,,
CAS,"Issuance (Retirement) of Stock, Net",616000,,33000.0,827000.0,571000.0,300915000.0,3436000.0,22394000.0
CAS,"Issuance (Retirement) of Debt, Net",-30000000,,-30000000.0,19683000.0,-1000000.0,26101000.0,13790000.0,5394000.0
CAS,Cash from Financing Activities,-29716000,,-30299000.0,20510000.0,-429000.0,377829000.0,17226000.0,27788000.0
CAS,Foreign Exchange Effects,1000,,-16000.0,-10000.0,35000.0,,,
CAS,Net Change in Cash,-129166000,,-47787000.0,-78109000.0,-88993000.0,303463000.0,-12637000.0,11879000.0
