,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
INC,"Interest Inc.(Exp.),Net-Non-Op., Total",-55500000,-57200000,-54800000,-218700000.0,-58400000.0,-208100000.0,-267700000.0,-230400000.0,-276500000.0,-218800000.0
INC,"Other, Net",-3600000,200000,100000,,,-1000000.0,2500000.0,-3300000.0,12700000.0,-7400000.0
INC,Net Income Before Taxes,-243100000,-25900000,-622900000,-897700000.0,-535100000.0,-249100000.0,-312000000.0,-122300000.0,-500500000.0,-360700000.0
INC,Provision for Income Taxes,-16500000,1300000,-10900000,-92900000.0,-23400000.0,-30800000.0,-66200000.0,-20000000.0,-29900000.0,-104000000.0
INC,Net Income After Taxes,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-256700000.0
INC,Net Income Before Extra. Items,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-256700000.0
INC,Net Income,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-59900000.0
INC,Income Available to Com Excl ExtraOrd,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-256700000.0
INC,Income Available to Com Incl ExtraOrd,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-59900000.0
INC,Diluted Net Income,-226600000,-27200000,-612000000,-804800000.0,-511700000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-59900000.0
INC,Diluted Weighted Average Shares,216000000,215100000,213200000,211200000.0,210800000.0,208000000.0,179600000.0,199057380.0,199057380.0,199057380.0
INC,Diluted EPS Excluding ExtraOrd Items,-1049070,-126450,-2870540,-3810610.0,-2427420.0,-1049520.0,-1368600.0,-513920.0,-2364140.0,-1289580.0
INC,DPS - Common Stock Primary Issue,0,0,0,,0.0,,,0.0,0.0,0.0
INC,Diluted Normalized EPS,-523660,-303230,-1171760,-1377410.0,-909110.0,-245770.0,-730540.0,-375470.0,-1256200.0,-1147860.0
CAS,Net Income/Starting Line,-865800000,-639200000,-612000000,-804800000.0,-590800000.0,-218300000.0,-245800000.0,-102300000.0,-470600000.0,-59900000.0
CAS,Depreciation/Depletion,282500000,192400000,94700000,387800000.0,296400000.0,424800000.0,466200000.0,496000000.0,611000000.0,757900000.0
CAS,Deferred Taxes,-38900000,-17000000,-17300000,-108800000.0,-46700000.0,-41500000.0,-73600000.0,-40700000.0,-24600000.0,-306900000.0
CAS,Non-Cash Items,727500000,529100000,567700000,852200000.0,597400000.0,237900000.0,256400000.0,79400000.0,335900000.0,41900000.0
CAS,Cash Taxes Paid,9900000,5600000,1700000,10500000.0,9000000.0,5500000.0,15600000.0,7200000.0,13900000.0,100000.0
CAS,Cash Interest Paid,166200000,113600000,49500000,177900000.0,127100000.0,178500000.0,262800000.0,265300000.0,262500000.0,201300000.0
CAS,Changes in Working Capital,197400000,-29400000,-35000000,-79700000.0,-37100000.0,-32100000.0,-286500000.0,-139500000.0,-21900000.0,-141300000.0
CAS,Cash from Operating Activities,302700000,35900000,-1900000,246700000.0,219200000.0,370800000.0,116700000.0,292900000.0,429800000.0,291700000.0
CAS,Capital Expenditures,-63000000,-35500000,-12100000,-80400000.0,-65400000.0,-108400000.0,-116500000.0,-198000000.0,-294300000.0,-189500000.0
CAS,"Other Investing Cash Flow Items, Total",700000,600000,400000,-17500000.0,-18100000.0,39400000.0,-11900000.0,-188500000.0,-54000000.0,-1036700000.0
CAS,Cash from Investing Activities,-62300000,-34900000,-11700000,-97900000.0,-83500000.0,-69000000.0,-128400000.0,-386500000.0,-348300000.0,-1226200000.0
CAS,Financing Cash Flow Items,-15300000,-8600000,-4400000,-20500000.0,-16200000.0,-47400000.0,-10900000.0,-2600000.0,0.0,-19900000.0
CAS,"Issuance (Retirement) of Stock, Net",800000,800000,0,-27300000.0,-28300000.0,61100000.0,688900000.0,-2200000.0,3200000.0,9700000.0
CAS,"Issuance (Retirement) of Debt, Net",-176900000,-63000000,-36900000,-139200000.0,-104300000.0,-145900000.0,-648100000.0,-74400000.0,-56900000.0,877700000.0
CAS,Cash from Financing Activities,-191400000,-70800000,-41300000,-187000000.0,-148800000.0,-132200000.0,29900000.0,-79200000.0,-53700000.0,867500000.0
CAS,Foreign Exchange Effects,300000,1400000,900000,-5800000.0,-10200000.0,-2300000.0,2800000.0,1700000.0,-4500000.0,3700000.0
CAS,Net Change in Cash,49300000,-68400000,-54000000,-44000000.0,-23300000.0,167300000.0,21000000.0,-171100000.0,23300000.0,-63300000.0
