,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
CAS,Depreciation/Depletion,4288000,2824000,1360000,5714000.0,4320000,6329000.0,5870000.0,3775000.0,1019000.0,680000.0
CAS,Non-Cash Items,23048000,16787000,9121000,47741000.0,37491000,44870000.0,32846000.0,14576000.0,4331000.0,5354000.0
CAS,Changes in Working Capital,-76471000,-66681000,-13172000,59526000.0,67667000,283681000.0,-15222000.0,-12274000.0,174362000.0,8675000.0
CAS,Cash from Operating Activities,-138092000,-91552000,-48548000,-20329000.0,28596000,298551000.0,-166734000.0,-99308000.0,127464000.0,-17771000.0
CAS,Capital Expenditures,-2148000,-2242000,-1025000,-4117000.0,-3351000,-3247000.0,-5032000.0,-15265000.0,-1884000.0,-801000.0
CAS,"Other Investing Cash Flow Items, Total",85995000,69128000,89726000,-154897000.0,-174044000,-46416000.0,-100019000.0,-33609000.0,-222235000.0,
CAS,Cash from Investing Activities,83847000,66886000,88701000,-159014000.0,-177395000,-49663000.0,-105051000.0,-48874000.0,-224119000.0,-801000.0
CAS,"Issuance (Retirement) of Stock, Net",1960000,1960000,1079000,4514000.0,3878000,30295000.0,232113000.0,172445000.0,133050000.0,-15000.0
CAS,Cash from Financing Activities,1960000,1960000,1079000,4514000.0,3878000,30295000.0,232113000.0,172353000.0,131146000.0,-15000.0
CAS,Net Change in Cash,-52285000,-22706000,41232000,-174829000.0,-144921000,279183000.0,-39672000.0,24171000.0,34491000.0,-18587000.0
