,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
INC,Net Income Before Taxes,-50525000,-44904000.0,-31934000.0,-101944000.0,-23387000.0,-87758000.0,-58574000.0,124119000.0,-120548000.0,-135654000.0
INC,Net Income After Taxes,-50525000,-44904000.0,-31934000.0,-101944000.0,-23387000.0,-87758000.0,-58574000.0,130133000.0,-120548000.0,-126993000.0
INC,Net Income Before Extra. Items,-50525000,-44904000.0,-31934000.0,-101944000.0,-23387000.0,-87758000.0,-58574000.0,130133000.0,-120548000.0,-126993000.0
INC,Net Income,-50525000,-44904000.0,-31934000.0,-101944000.0,-23387000.0,-87758000.0,-58574000.0,130133000.0,-120548000.0,-122993000.0
INC,Income Available to Com Excl ExtraOrd,-50525000,-44904000.0,-31934000.0,-101944000.0,-23387000.0,-87758000.0,-58574000.0,130133000.0,-120548000.0,-126993000.0
INC,Income Available to Com Incl ExtraOrd,-50525000,-44904000.0,-31934000.0,-101944000.0,-23387000.0,-87758000.0,-58574000.0,130133000.0,-120548000.0,-122993000.0
INC,Diluted Net Income,-50525000,-44904000.0,-31934000.0,-101944000.0,-23387000.0,-87758000.0,-58574000.0,130133000.0,-120548000.0,-122993000.0
INC,Diluted Weighted Average Shares,244925000,204783000.0,189014000.0,165733000.0,174904000.0,145652000.0,110841000.0,116747000.0,105830000.0,105237000.0
INC,Diluted EPS Excluding ExtraOrd Items,-206290,-219280.0,-168950.0,-615110.0,-133710.0,-602520.0,-528450.0,1114660.0,-1139070.0,-1206730.0
INC,DPS - Common Stock Primary Issue,0,0.0,0.0,,0.0,,,,,
INC,Diluted Normalized EPS,-206290,-219280.0,-168950.0,-615110.0,-133710.0,-602520.0,-1719240.0,1274100.0,-1139070.0,-1206730.0
CAS,Net Income/Starting Line,-127363000,-76838000.0,-31934000.0,-101944000.0,-71450000.0,-87758000.0,-58574000.0,130133000.0,-120548000.0,-122993000.0
CAS,Depreciation/Depletion,407000,256000.0,112000.0,427000.0,324000.0,292000.0,2934000.0,3654000.0,3683000.0,3399000.0
CAS,Non-Cash Items,8671000,7768000.0,3680000.0,12264000.0,8648000.0,10680000.0,-118408000.0,44321000.0,13032000.0,12175000.0
CAS,Cash Interest Paid,6767000,3314000.0,1556000.0,2289000.0,1281000.0,799000.0,17353000.0,19211000.0,16465000.0,5870000.0
CAS,Changes in Working Capital,6936000,-916000.0,-3471000.0,402000.0,-4804000.0,-10231000.0,31079000.0,-58287000.0,-44774000.0,-65314000.0
CAS,Cash from Operating Activities,-111349000,-69730000.0,-31613000.0,-88851000.0,-67282000.0,-87017000.0,-142969000.0,113807000.0,-148607000.0,-185394000.0
CAS,Capital Expenditures,-470000,-387000.0,-248000.0,-1326000.0,-80000.0,-1221000.0,-87000.0,-70000.0,-95000.0,-228000.0
CAS,"Other Investing Cash Flow Items, Total",-101371000,-62128000.0,12341000.0,-69752000.0,-95172000.0,3331000.0,380843000.0,-155785000.0,169671000.0,50750000.0
CAS,Cash from Investing Activities,-101841000,-62515000.0,12093000.0,-71078000.0,-95252000.0,2110000.0,380756000.0,-155855000.0,169576000.0,50522000.0
CAS,"Issuance (Retirement) of Stock, Net",137999000,138210000.0,-824000.0,93341000.0,93404000.0,34409000.0,68944000.0,-941000.0,-240000.0,6308000.0
CAS,"Issuance (Retirement) of Debt, Net",49962000,49961000.0,0.0,48868000.0,23899000.0,-11700000.0,-216580000.0,-1285000.0,-2004000.0,143625000.0
CAS,Cash from Financing Activities,187961000,188171000.0,-824000.0,142209000.0,117303000.0,22709000.0,-147636000.0,-2226000.0,-2244000.0,149933000.0
CAS,Net Change in Cash,-25229000,55926000.0,-20344000.0,-17720000.0,-45231000.0,-62198000.0,90151000.0,-44274000.0,18725000.0,15061000.0
