,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2021-01-31
CAS,Non-Cash Items,-64010000.0,-43401000,-19041000.0,4298000.0,-33715000.0,63743650.0,
CAS,Cash Taxes Paid,0.0,0,0.0,0.0,0.0,0.0,
CAS,Cash Interest Paid,0.0,0,0.0,0.0,0.0,26910.0,
CAS,Changes in Working Capital,91698000.0,60678000,24750000.0,9462000.0,12224000.0,-23261880.0,3480.0
CAS,Cash from Operating Activities,32404000.0,24679000,10816000.0,-20915000.0,-8891000.0,-31665930.0,0.0
CAS,Capital Expenditures,-37513000.0,-31473000,-19053000.0,-227918000.0,-213053000.0,-119965740.0,
CAS,"Other Investing Cash Flow Items, Total",-3414000.0,-2964000,713000.0,54009000.0,43291000.0,-174250.0,
CAS,Cash from Investing Activities,-40927000.0,-34437000,-18340000.0,-173909000.0,-169762000.0,-120139990.0,
CAS,Financing Cash Flow Items,-8184000.0,-2059000,,0.0,0.0,384893090.0,
CAS,"Issuance (Retirement) of Stock, Net",8122000.0,1631000,-481000.0,-3090000.0,-3077000.0,-23245910.0,
CAS,Cash from Financing Activities,-62000.0,-428000,-481000.0,-3090000.0,-3077000.0,361647180.0,
CAS,Net Change in Cash,-8585000.0,-10186000,-8005000.0,-197914000.0,-181730000.0,209841260.0,0.0
CAS,"Issuance (Retirement) of Debt, Net",,0,,0.0,0.0,0.0,
