,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31
INC,Diluted EPS Excluding ExtraOrd Items,-212440.0,-331730.0,-306650.0,-1364280.0,-360000,-1332280.0,-621100.0,-533500.0
INC,DPS - Common Stock Primary Issue,0.0,0.0,0.0,,0,,0.0,0.0
INC,Diluted Normalized EPS,-212440.0,-331730.0,-306650.0,-1364280.0,-360000,-1332280.0,-621050.0,-533500.0
CAS,Net Income/Starting Line,-54442000.0,-40916000.0,-19593000.0,-87585000.0,-73356000,-73507000.0,-41225000.0,-33629000.0
CAS,Depreciation/Depletion,4339000.0,2873000.0,1284000.0,3791000.0,2728000,2517000.0,1758000.0,1546000.0
CAS,Amortization,2016000.0,1281000.0,606000.0,1780000.0,1292000,1092000.0,632000.0,367000.0
CAS,Non-Cash Items,12034000.0,8425000.0,3465000.0,14811000.0,12223000,7728000.0,4012000.0,2795000.0
CAS,Cash Interest Paid,6000.0,5000.0,5000.0,266000.0,195000,286000.0,855000.0,837000.0
CAS,Changes in Working Capital,-1230000.0,3224000.0,-551000.0,-2890000.0,-2651000,4231000.0,3093000.0,-2759000.0
CAS,Cash from Operating Activities,-37283000.0,-25113000.0,-14789000.0,-70093000.0,-59764000,-57939000.0,-31730000.0,-31680000.0
CAS,Capital Expenditures,-6977000.0,-4876000.0,-1727000.0,-10381000.0,-7208000,-6671000.0,-3204000.0,-3033000.0
CAS,"Other Investing Cash Flow Items, Total",17546000.0,17546000.0,16213000.0,52354000.0,37043000,-50263000.0,-21119000.0,0.0
CAS,Cash from Investing Activities,10569000.0,12670000.0,14486000.0,41973000.0,29835000,-56934000.0,-24323000.0,-3033000.0
CAS,"Issuance (Retirement) of Stock, Net",207000.0,207000.0,151000.0,748000.0,748000,216190000.0,108715000.0,1760000.0
CAS,"Issuance (Retirement) of Debt, Net",-2518000.0,-1761000.0,-1086000.0,-2316000.0,-1736000,-4085000.0,-1670000.0,-2783000.0
CAS,Cash from Financing Activities,-2311000.0,-1554000.0,-935000.0,-1568000.0,-988000,237773000.0,107045000.0,-1023000.0
CAS,Foreign Exchange Effects,487000.0,1244000.0,695000.0,-1969000.0,-4218000,-4563000.0,5564000.0,-102000.0
CAS,Net Change in Cash,-28538000.0,-12753000.0,-543000.0,-31657000.0,-35135000,118337000.0,56556000.0,-35838000.0
CAS,Financing Cash Flow Items,,,,0.0,0,25668000.0,,
