,,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2018-09-30
INC,Income Available to Com Excl ExtraOrd,-45849000.0,-45552000.0,-39811000.0,-148839000.0,-42767000,-142096000.0,-142094000.0,-123849000.0,-20648000.0,-44751000.0
INC,Income Available to Com Incl ExtraOrd,-45849000.0,-45552000.0,-39811000.0,-148839000.0,-42767000,-142096000.0,-142094000.0,-123849000.0,-20648000.0,-44751000.0
INC,Diluted Net Income,-45849000.0,-45552000.0,-39811000.0,-148839000.0,-42767000,-142096000.0,-142094000.0,-123849000.0,-20648000.0,-44751000.0
INC,Diluted Weighted Average Shares,173984100.0,173860490.0,173825830.0,94993400.0,91240800,72084080.0,51558080.0,43065540.0,39366630.0,31557030.0
INC,Diluted EPS Excluding ExtraOrd Items,-263520.0,-262000.0,-229030.0,-1566840.0,-468730,-1971250.0,-2756000.0,-2875830.0,-524510.0,-1418100.0
INC,DPS - Common Stock Primary Issue,0.0,0.0,0.0,,0,,,,0.0,
INC,Diluted Normalized EPS,-262100.0,-261920.0,-214940.0,-1563310.0,-468730,-1965160.0,-2739610.0,-2813910.0,-524510.0,-1418100.0
CAS,Net Income/Starting Line,-131212000.0,-85363000.0,-39811000.0,-148839000.0,-121888000,-142096000.0,-142094000.0,-123849000.0,-20648000.0,-44751000.0
CAS,Depreciation/Depletion,4790000.0,3411000.0,1899000.0,7422000.0,5773000,8458000.0,5658000.0,4611000.0,645000.0,1709000.0
CAS,Deferred Taxes,-520000.0,-282000.0,-195000.0,-268000.0,-587000,-72000.0,-1344000.0,-399000.0,,
CAS,Non-Cash Items,26730000.0,12557000.0,8212000.0,25409000.0,24563000,11711000.0,18612000.0,34357000.0,3787000.0,6773000.0
CAS,Changes in Working Capital,-20542000.0,-10889000.0,-12524000.0,3968000.0,-5603000,4138000.0,1410000.0,-16204000.0,-3569000.0,4732000.0
CAS,Cash from Operating Activities,-120754000.0,-80566000.0,-42419000.0,-112308000.0,-97742000,-117861000.0,-117758000.0,-101484000.0,-19785000.0,-31537000.0
CAS,Capital Expenditures,-9509000.0,-8011000.0,-3622000.0,-10841000.0,-10208000,-8857000.0,-14681000.0,-18668000.0,-4422000.0,-9531000.0
CAS,Cash from Investing Activities,-9509000.0,-8011000.0,-3622000.0,-10841000.0,-10208000,-8857000.0,-14681000.0,-18668000.0,-4422000.0,-9531000.0
CAS,Financing Cash Flow Items,-910000.0,-910000.0,-691000.0,59639000.0,-16000,38038000.0,,,,
CAS,"Issuance (Retirement) of Stock, Net",4000.0,,,163971000.0,117000,246025000.0,74415000.0,108863000.0,0.0,156920000.0
CAS,Cash from Financing Activities,-906000.0,-910000.0,-691000.0,223610000.0,101000,284063000.0,74415000.0,108863000.0,0.0,156920000.0
CAS,Foreign Exchange Effects,5257000.0,14558000.0,7326000.0,-28376000.0,-39459000,-754000.0,679000.0,5164000.0,-5327000.0,-5833000.0
CAS,Net Change in Cash,-125912000.0,-74929000.0,-39406000.0,72085000.0,-147308000,156591000.0,-57345000.0,-6125000.0,-29534000.0,110019000.0
